STN,WBAN,YEARMODA,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,A,B,C,D,E,F
699604,03145,20110101,43.0,24,8.3,24,1024.7,24,1016.9,24,10.0,24,6.6,24,8.9,999.9,54.0,34.0,0.00G,999.9,000000
699604,03145,20110102,45.4,24,11.1,24,1023.9,24,1016.1,24,10.0,24,5.6,24,8.9,999.9,57.0,37.9,0.00G,999.9,000000
699604,03145,20110103,49.3,24,19.2,24,1017.9,24,1010.1,24,10.0,24,3.9,24,7.0,999.9,60.1,42.1,0.00G,999.9,000000
699604,03145,20110104,51.1,24,29.4,24,1021.8,24,1014.0,24,10.0,24,8.4,24,13.0,18.1,60.1,45.0,0.00G,999.9,000000
699604,03145,20110105,52.7,24,29.4,24,1024.1,24,1016.4,24,9.9,24,7.5,24,15.0,999.9,62.1,44.1,0.00G,999.9,000000
699604,03145,20110106,55.1,24,26.1,24,1022.5,24,1014.8,24,10.0,24,8.1,24,12.0,999.9,66.0,48.9,0.00G,999.9,000000
699604,03145,20110107,54.8,24,24.9,24,1016.8,24,1009.0,24,10.0,24,3.4,24,7.0,999.9,68.0,44.1,0.00G,999.9,000000
699604,03145,20110108,52.2,24,27.7,24,1012.0,24,1004.3,24,10.0,24,0.9,24,5.1,999.9,66.9,39.9,0.00G,999.9,000000
699604,03145,20110109,55.2,24,38.8,24,1011.5,19,1004.2,24,10.0,24,2.5,24,6.0,999.9,64.0,48.0,0.00G,999.9,000000
699604,03145,20110110,54.2,24,37.3,24,1015.8,23,1008.1,24,10.0,24,6.4,24,14.0,19.0,64.0,46.0,0.00G,999.9,000000
699604,03145,20110111,53.4,24,9.9,24,1023.3,24,1015.6,24,10.0,24,9.6,24,15.9,21.0,61.0,45.0,0.00G,999.9,000000
699604,03145,20110112,56.3,24,13.5,24,1024.1,24,1016.4,24,10.0,24,9.7,24,17.1,22.0,66.9,51.1,0.00G,999.9,000000
699604,03145,20110113,59.8,24,20.9,24,1024.3,24,1016.6,24,10.0,24,6.7,24,9.9,18.1,73.0,52.0,0.00G,999.9,000000
699604,03145,20110114,62.7,24,26.1,24,1020.6,24,1012.9,24,10.0,24,9.0,24,17.1,27.0,75.9,53.1,0.00G,999.9,000000
699604,03145,20110115,67.5,24,30.3,24,1020.3,24,1012.7,24,10.0,24,8.3,24,13.0,20.0,77.0,59.0,0.00G,999.9,000000
699604,03145,20110116,64.8,24,31.0,24,1017.3,24,1009.7,24,10.0,24,5.1,24,12.0,999.9,79.0,52.0,0.00G,999.9,000000
699604,03145,20110117,67.5,24,36.8,24,1014.6,24,1007.1,24,10.0,24,3.9,24,11.1,17.1,86.0,55.9,0.00G,999.9,000000
699604,03145,20110118,67.8,24,41.7,24,1012.5,24,1004.9,24,10.0,24,3.4,24,8.0,999.9,84.9,53.1,0.00G,999.9,000000
699604,03145,20110119,65.8,24,36.7,24,1010.8,24,1003.2,24,10.0,24,4.0,24,9.9,999.9,79.0,53.1,0.00G,999.9,000000
699604,03145,20110120,65.5,24,26.4,24,1015.5,24,1007.9,24,10.0,24,9.3,24,18.1,22.9,75.9,57.0,0.00G,999.9,000000
699604,03145,20110121,61.6,24,11.7,24,1018.3,24,1010.7,24,10.0,24,7.8,24,12.0,15.0,73.0,51.1,0.00G,999.9,000000
699604,03145,20110122,59.3,24,20.5,24,1014.0,24,1006.4,24,10.0,24,3.7,24,8.0,999.9,77.0,46.9,0.00G,999.9,000000
699604,03145,20110123,63.7,24,19.7,24,1015.6,24,1008.0,24,9.9,24,10.8,24,26.0,38.1,72.0,53.1,0.00G,999.9,000000
699604,03145,20110124,60.4,24,10.5,24,1017.7,24,1010.0,24,10.0,24,6.1,24,13.0,18.1,73.0,48.9,0.00G,999.9,000000
699604,03145,20110125,59.6,24,16.1,24,1017.6,24,1009.9,24,10.0,24,6.0,24,14.0,999.9,72.0,48.0,0.00G,999.9,000000
699604,03145,20110126,59.0,24,23.1,24,1018.1,24,1010.3,24,10.0,24,6.4,24,15.9,24.1,73.9,44.1,0.00G,999.9,000000
699604,03145,20110127,63.9,24,22.5,24,1020.6,24,1012.9,24,10.0,24,8.2,24,14.0,20.0,75.9,54.0,0.00G,999.9,000000
699604,03145,20110128,60.6,24,19.8,24,1018.1,24,1010.5,24,10.0,24,4.7,24,11.1,999.9,77.0,46.9,0.00G,999.9,000000
699604,03145,20110129,57.8,24,24.5,24,1016.2,24,1008.5,24,10.0,24,1.6,24,5.1,999.9,75.0,42.1,0.00G,999.9,000000
